scenario,observations,r_squared,adjusted_r_squared,transit_distance_coefficient,transit_distance_p_value,transit_distance_ci_lower,transit_distance_ci_upper
All observations,25,0.19019323745447436,0.07450655709082787,-35.40410387142484,0.006649407201039169,-60.972655723018505,-9.83555201983117
Exclude 42027011903,24,0.4012801425543655,0.3114721639375204,-36.049617995884724,0.015301856727632044,-65.18423256250136,-6.915003429268083
Exclude 42027012300,24,0.21100407963783718,0.0926546915835128,-32.69730227898282,0.015686241669259186,-59.22128924056423,-6.173315317401407
Exclude both influential observations,23,0.3242362881541966,0.21753675470485923,-33.96132289978638,0.01050940562843968,-59.97669220672627,-7.9459535928464895
